Restaurant ID,Restaurant Name,City,Address,Locality,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Price range,Aggregate rating,Rating color,Rating text,Votes,cleaned_restaurant_name,cleaned_cuisines,cleaned_city,cleaned_locality
6309455,Mad Mark's Creamery & Good Eats,Pasig City,"23 East Capitol Drive, Kapitolyo, Pasig City",Kapitolyo,121.06082,14.570849,"American, Ice Cream, Desserts",900,Botswana Pula(P),Yes,No,No,3,4.2,Green,Very Good,488.0,mad mark creamery good eats,american ice cream dessert,pasig city,kapitolyo
6318433,Silantro Fil-Mex,Quezon City,"Second Floor, UP Town Center, Katipunan Avenue, Diliman, Quezon City","UP Town Center, Diliman, Quezon City",121.075419,14.649503,"Filipino, Mexican",800,Botswana Pula(P),No,No,No,3,4.8,Dark Green,Excellent,294.0,silantro filmex,filipino mexican,quezon city,town center diliman quezon city
6310470,Guevarra's,San Juan City,"387 P. Guevarra Corner Argonne Street, Addition Hills, San Juan City",Addition Hills,121.0335917,14.59345,Filipino,1000,Botswana Pula(P),Yes,No,No,3,4.2,Green,Very Good,458.0,guevarras,filipino,san juan city,addition hill
6314605,Sodam Korean Restaurant,San Juan City,"17 J. Abad Santos Drive, Little Baguio, San Juan City",Little Baguio,121.03811,14.59889,Korean,700,Botswana Pula(P),No,No,No,3,4.3,Green,Very Good,223.0,sodam korean restaurant,korean,san juan city,little baguio
18185059,Cafe Arabelle,Santa Rosa,"Ayala Mall, Solenad, Nuvali, Santa Rosa - Tagaytay Road, Don Jose, Santa Rosa","Nuvali, Don Jose, Santa Rosa",121.05704,14.237082,"Cafe, American, Italian, Filipino",800,Botswana Pula(P),No,No,No,3,3.6,Yellow,Good,29.0,cafe arabelle,cafe american italian filipino,santa rosa,nuvali jose santa rosa
18182702,Nonna's Pasta & Pizzeria,Santa Rosa,"Ground Floor, Building G, Solenad 3, Nuvali, Don Jose, Santa Rosa","Solenad 3, Don Jose, Santa Rosa",121.0565874,14.23767897,"Italian, Pizza",850,Botswana Pula(P),No,No,No,3,4.0,Green,Very Good,72.0,nonnas pasta pizzeria,italian pizza,santa rosa,solenad jose santa rosa
6318213,Balay Dako,Tagaytay City,"Aguinaldo Highway, Tagaytay City",Tagaytay City,120.951589,14.101834,Filipino,1200,Botswana Pula(P),Yes,No,No,3,4.5,Dark Green,Excellent,211.0,balay dako,filipino,tagaytay city,tagaytay city
18255654,Hobing Korean Dessert Cafe,Taguig City,"Third Floor, BGC Stopover Pavillion, Rizal Drive Corner 31st Street, Bonifacio Global City, Taguig City","BGC Stopover Pavillion, Bonifacio Global City",121.045878,14.55436,"Cafe, Korean, Desserts",600,Botswana Pula(P),No,No,No,2,4.5,Dark Green,Excellent,118.0,hobing korean dessert cafe,cafe korean dessert,taguig city,bgc stopover pavillion bonifacio global city
6308205,Wildflour Cafe + Bakery,Taguig City,"Ground Floor, Netlima Building, 4th Avenue Corner 26th Street, Bonifacio Global City, Taguig City",Bonifacio Global City,121.04622,14.549337,"Cafe, Bakery, American, Italian",1500,Botswana Pula(P),Yes,No,No,4,4.4,Green,Very Good,392.0,wildflour cafe bakery,cafe bakery american italian,taguig city,bonifacio global city
6315438,NIU by Vikings,Taguig City,"Sixth Floor, SM Aura Premier, C5 Road Corner 26th Street, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City",121.053725,14.545858,"Seafood, American, Mediterranean, Japanese",3000,Botswana Pula(P),Yes,No,No,4,4.7,Dark Green,Excellent,535.0,niu viking,seafood american mediterranean japanese,taguig city,sm aura premier bonifacio global city taguig city
6310406,The Food Hall by Todd English,Taguig City,"Fifth Floor, SM Aura Premier, C5 Corner 26th Street, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City",121.0534998,14.54565535,"American, Asian, Italian, Seafood",1800,Botswana Pula(P),Yes,No,No,4,4.5,Dark Green,Excellent,618.0,food hall todd english,american asian italian seafood,taguig city,sm aura premier bonifacio global city taguig city
6600681,Chez Michou,Brasí_lia,"SCLN, 208, Bloco A, Loja 30, Asa Norte, Brasí_lia",Asa Norte,-47.88178889,-15.76414167,"Fast Food, French",55,Brazilian Real(R$),No,No,No,2,3.0,Orange,Average,6.0,chez michou,fast food french,brasília,asa norte
6601005,Cafí© Daniel Briand,Brasí_lia,"SCLN 104, Bloco A, Loja 26, Asa Norte, Brasí_lia",Asa Norte,-47.88266667,-15.7775,Cafe,30,Brazilian Real(R$),No,No,No,1,3.8,Yellow,Good,9.0,cafí© daniel briand,cafe,brasília,asa norte
6600292,Casa do Biscoito Mineiro,Brasí_lia,"SCLN 210, Bloco D, Loja 36/48, Asa Norte, Brasí_lia",Asa Norte,-47.88213611,-15.75747222,Bakery,45,Brazilian Real(R$),No,No,No,2,3.7,Yellow,Good,11.0,casa biscoito mineiro,bakery,brasília,asa norte
6600441,Maori,Brasí_lia,"CLN 110, Bloco D, Loja 28, Asa Norte, Brasí_lia",Asa Norte,-47.88816667,-15.75883333,Brazilian,60,Brazilian Real(R$),No,No,No,3,3.8,Yellow,Good,11.0,maori,brazilian,brasília,asa norte
6600970,Pizza íæ Bessa,Brasí_lia,"SCS 214, Bloco C, Loja 40, Asa Sul, Brasí_lia",Asa Sul,-47.91566667,-15.83116667,Pizza,50,Brazilian Real(R$),No,No,No,2,3.2,Orange,Average,11.0,pizza íæ bessa,pizza,brasília,asa sul
6600379,Sushi Loko,Brasí_lia,"SCS 213, Bloco C, Loja 35, Asa Sul, Brasí_lia",Asa Sul,-47.91566667,-15.831,Japanese,80,Brazilian Real(R$),No,No,No,3,3.1,Orange,Average,10.0,sushi loko,japanese,brasília,asa sul
6600214,Beirute,Brasí_lia,"CLS 109, Bloco A, Loja 2/6, Asa Sul, Brasí_lia",Asa Sul,-47.9075,-15.82,Arabian,90,Brazilian Real(R$),No,No,No,3,3.7,Yellow,Good,8.0,beirute,arabian,brasília,asa sul
6601218,New Koto,Brasí_lia,"SCS 212, Bloco B, Loja 26, Asa Sul, Brasí_lia",Asa Sul,-47.91016667,-15.82733333,Japanese,200,Brazilian Real(R$),No,No,No,4,3.7,Yellow,Good,5.0,new koto,japanese,brasília,asa sul
6600060,Sandubas Cafí©,Brasí_lia,"Edifí_cio Josí© Severo, SCS 6, Bloco A, Loja 99, Asa Sul, Brasí_lia",Asa Sul,-47.89016667,-15.797,"Brazilian, Cafe",30,Brazilian Real(R$),No,No,No,1,0.0,White,Not rated,2.0,sandubas cafí©,brazilian cafe,brasília,asa sul
6600083,Villa Tevere,Brasí_lia,"CLS 115, Bloco A, Loja 2, Asa Sul, Brasí_lia",Asa Sul,-47.92366667,-15.83133333,Italian,150,Brazilian Real(R$),No,No,No,4,4.1,Green,Very Good,12.0,villa tevere,italian,brasília,asa sul
6601515,Rovereto,Brasí_lia,"Rua 13 Norte, Lote 4, íguas Claras, Brasí_lia",íguas Claras,-48.019,-15.83716667,Pizza,100,Brazilian Real(R$),No,No,No,4,3.1,Orange,Average,9.0,rovereto,pizza,brasília,íguas claras
6601361,Buena Carne,Brasí_lia,"Avenida Araucíçrias, 1325, Loja 19, íguas Claras, Brasí_lia",íguas Claras,-48.01909167,-15.839775,"Bar Food, Brazilian",60,Brazilian Real(R$),No,No,No,3,3.6,Yellow,Good,9.0,buena carne,bar food brazilian,brasília,íguas claras
6601602,Taco Pep,Brasí_lia,"Vila Malls, Avenida das Castanheiras, Lote 1060, íguas Claras, Brasí_lia",íguas Claras,-48.01666667,-15.83483333,"Mexican, Grill",100,Brazilian Real(R$),No,No,No,4,4.3,Green,Very Good,29.0,taco pep,mexican grill,brasília,íguas claras
6601589,Coco Bambu,Brasí_lia,"Brasí_lia Shopping - Piso 2, SCN 5, Bloco A, Asa Norte, Brasí_lia","Brasí_lia Shopping, Asa Norte",-47.889,-15.7865,International,230,Brazilian Real(R$),No,No,No,4,4.2,Green,Very Good,17.0,coco bambu,international,brasília,brasília shopping asa norte
6601862,Taypíç,Brasí_lia,"Fashion Park, Shis Ql 17, Bloco G, Loja 208, Lago Sul, Brasí_lia",Lago Sul,-47.872359,-15.860621,"Peruvian, Latin American",100,Brazilian Real(R$),No,No,No,4,3.6,Yellow,Good,5.0,taypíç,peruvian latin american,brasília,lago sul
6601595,Outback Steakhouse,Brasí_lia,"ParkShopping - Piso 2, SAI/SO, írea 6580, Guaríç I, Brasí_lia","ParkShopping, Guaríç I",-47.95628333,-15.83451389,"American, Grill",150,Brazilian Real(R$),No,No,No,4,4.0,Green,Very Good,10.0,outback steakhouse,american grill,brasília,parkshopping guaríç
6601158,Manzuíç,Brasí_lia,"Pontí£o Lago Sul, SHIS 10, Lote 9, Lago Sul, Brasí_lia","Pontí£o Lago Sul, Lago Sul",-47.87283333,-15.82566667,Seafood,240,Brazilian Real(R$),No,No,No,4,3.2,Orange,Average,6.0,manzuíç,seafood,brasília,pontí£o lago sul lago sul
6600427,Coco Bambu,Brasí_lia,"SCES, Trecho 2, Conjunto 13/36, Setor de Clubes Esportivos Sul, Brasí_lia",Setor De Clubes Esportivos Sul,-47.8685,-15.819,International,230,Brazilian Real(R$),No,No,No,4,4.9,Dark Green,Excellent,30.0,coco bambu,international,brasília,setor de clubes esportivos sul
6600116,Gero,Brasí_lia,"Shopping Iguatemi - piso 1, SHIN CA 4, Lote A, Lago Norte, Brasí_lia","Shopping Iguatemi, Lago Norte",-47.885812,-15.720118,Italian,350,Brazilian Real(R$),No,No,No,4,3.3,Orange,Average,8.0,gero,italian,brasília,shopping iguatemi lago norte
6601457,Brazilian American Burgers,Brasí_lia,"CLSN 301, Bloco C, Loja 86, Sudoeste, Brasí_lia",Sudoeste,-47.92102778,-15.79753056,"American, Burger",50,Brazilian Real(R$),No,No,No,2,3.6,Yellow,Good,9.0,brazilian american burger,american burger,brasília,sudoeste
7303219,Pesqueiro Eco Gourmet,Rio de Janeiro,"Praia da Barra da Tijuca, Avenida Lí_cio Costa, Ilha 25, Barra da Tijuca, Rio de Janeiro",Barra da Tijuca,-43.377,-23.0115,"Seafood, Bar Food, Brazilian",140,Brazilian Real(R$),No,No,No,4,4.0,Green,Very Good,7.0,pesqueiro eco gourmet,seafood bar food brazilian,rio de janeiro,barra da tijuca
7304307,Confeitaria Colombo,Rio de Janeiro,"Rua Goní_alves Dias, 32, Centro, Rio de Janeiro",Centro,-43.178826,-22.905293,"Desserts, Cafe",100,Brazilian Real(R$),No,No,No,4,4.8,Dark Green,Excellent,29.0,confeitaria colombo,dessert cafe,rio de janeiro,centro
7301215,Bibi,Rio de Janeiro,"Rua Santa Clara, 36, Copabana, Rio de Janeiro",Copacabana,-43.18669167,-22.97207222,"Juices, Healthy Food",60,Brazilian Real(R$),No,No,No,3,4.7,Dark Green,Excellent,24.0,bibi,juice healthy food,rio de janeiro,copacabana
7300596,Cervantes,Rio de Janeiro,"Avenida Prado Junior, 335 B, Copacabana, Rio de Janeiro",Copacabana,-43.17583333,-22.96216667,"Beverages, Bar Food, Fast Food",90,Brazilian Real(R$),No,No,No,3,4.5,Dark Green,Excellent,29.0,cervantes,beverage bar food fast food,rio de janeiro,copacabana
7300612,Amir,Rio de Janeiro,"Rua Ronald de Carvalho, 55, Copacabana, Rio de Janeiro",Copacabana,-43.176,-22.96516667,Lebanese,170,Brazilian Real(R$),No,No,No,4,4.2,Green,Very Good,11.0,amir,lebanese,rio de janeiro,copacabana
7300704,TT Burger,Rio de Janeiro,"Galeria River, Rua Francisco Otaviano, 67, Copacabana, Rio de Janeiro","Galeria River, Copacabana",-43.191,-22.98683333,Burger,60,Brazilian Real(R$),No,No,No,3,4.8,Dark Green,Excellent,19.0,tt burger,burger,rio de janeiro,galeria river copacabana
7300955,Braseiro da Gíçvea,Rio de Janeiro,"Praí_a Santos Dumont, 116, Gíçvea, Rio de Janeiro",Gíçvea,-43.227042,-22.973507,"Brazilian, Bar Food",100,Brazilian Real(R$),No,No,No,4,4.9,Dark Green,Excellent,40.0,braseiro da gíçvea,brazilian bar food,rio de janeiro,gíçvea
7300521,Balada Mix,Rio de Janeiro,"Rua Aní_bal de Mendoní_a, 37, Ipanema, Rio de Janeiro",Ipanema,-43.211425,-22.98520833,"Brazilian, Healthy Food, Juices, Pizza",90,Brazilian Real(R$),No,No,No,3,4.6,Dark Green,Excellent,21.0,balada mix,brazilian healthy food juice pizza,rio de janeiro,ipanema
7300515,Garota de Ipanema,Rio de Janeiro,"Rua Vinicius de Moraes, 49, Ipanema, Rio de Janeiro",Ipanema,-43.203,-22.98533333,"Brazilian, Bar Food",120,Brazilian Real(R$),No,No,No,4,4.9,Dark Green,Excellent,49.0,garota de ipanema,brazilian bar food,rio de janeiro,ipanema
7300483,Zazíç BistríÇ Tropical,Rio de Janeiro,"Rua Joana Angí©lica, 40, Ipanema, Rio de Janeiro",Ipanema,-43.20520833,-22.98531944,Brazilian,170,Brazilian Real(R$),No,No,No,4,4.6,Dark Green,Excellent,21.0,zazíç bistríç tropical,brazilian,rio de janeiro,ipanema
7301064,Filí© de Ouro,Rio de Janeiro,"Rua Jardim Botí¢nico, 731, Jardim Botí¢nico, Lagoa, Rio de Janeiro",Lagoa,-43.219563,-22.966647,Brazilian,90,Brazilian Real(R$),No,No,No,3,4.3,Green,Very Good,14.0,filí© de ouro,brazilian,rio de janeiro,lagoa
7304312,D.O.C Ristorante,Rio de Janeiro,"Le Monde, Bloco 3, Lojas A/B, Avenida das Amí©ricas, 3500, Barra da Tijuca, Rio de Janeiro","Le Monde, Barra da Tijuca",-43.34879167,-22.99991111,Italian,150,Brazilian Real(R$),No,No,No,4,4.0,Green,Very Good,5.0,doc ristorante,italian,rio de janeiro,le monde barra da tijuca
7300004,Sushi Leblon,Rio de Janeiro,"Rua Dias Ferreira, 256, Leblon, Rio de Janeiro",Leblon,-43.227,-22.98416667,Japanese,250,Brazilian Real(R$),No,No,No,4,4.6,Dark Green,Excellent,25.0,sushi leblon,japanese,rio de janeiro,leblon
7300868,Talho Capixaba,Rio de Janeiro,"Avenida Ataulfo de Paiva, 1022, Lojas A e B, Leblon, Rio de Janeiro",Leblon,-43.22566667,-22.98516667,"Bakery, Sandwich, Brazilian",120,Brazilian Real(R$),No,No,No,4,4.4,Green,Very Good,13.0,talho capixaba,bakery sandwich brazilian,rio de janeiro,leblon
7302637,Leme Light,Rio de Janeiro,"Rua Gustavo Sampaio, 798, Leme, Rio de Janeiro",Leme,-43.17279167,-22.963925,Brazilian,40,Brazilian Real(R$),No,No,No,2,4.2,Green,Very Good,7.0,leme light,brazilian,rio de janeiro,leme
7302140,Shirley,Rio de Janeiro,"Rua Gustavo Sampaio, 610, Leme, Rio de Janeiro",Leme,-43.17126389,-22.96337222,"Brazilian, Seafood",250,Brazilian Real(R$),No,No,No,4,4.2,Green,Very Good,8.0,shirley,brazilian seafood,rio de janeiro,leme
7305048,Quiosque Chopp Brahma,Rio de Janeiro,"Madureira Shopping - Loja 289/290, Piso 2, Estrada do Portela, 222, Madureira, Rio de Janeiro, RJ",Madureira,-43.341164,-22.870413,"Bar Food, Brazilian",70,Brazilian Real(R$),No,No,No,3,0.0,White,Not rated,1.0,quiosque chopp brahma,bar food brazilian,rio de janeiro,madureira
7302898,Aprazí_vel,Rio de Janeiro,"Rua Aprazí_vel, 62, Santa Teresa, Rio de Janeiro",Santa Teresa,-43.18736944,-22.92481389,Brazilian,300,Brazilian Real(R$),No,No,No,4,4.7,Dark Green,Excellent,44.0,aprazível,brazilian,rio de janeiro,santa teresa
7302859,Aconchego Carioca,Rio de Janeiro,"Rua Barí£o de Iguatemi, 379, Tijuca, Rio de Janeiro",Tijuca,-43.21551111,-22.91370833,"Brazilian, Bar Food",85,Brazilian Real(R$),No,No,No,3,4.6,Dark Green,Excellent,24.0,aconchego carioca,brazilian bar food,rio de janeiro,tijuca
7301700,Garota de Ipanema,Rio de Janeiro,"Avenida Joí£o Alves, 56, Urca, Rio de Janeiro",Urca,-43.16266667,-22.94783333,"Brazilian, Bar Food",80,Brazilian Real(R$),No,No,No,3,4.3,Green,Very Good,10.0,garota de ipanema,brazilian bar food,rio de janeiro,urca
6706313,Cantina Famiglia Mancini,Sí£o Paulo,"Rua Avanhandava, 81, Bela Vista, Sí£o Paulo 10000","Bela Vista, Centro",-46.64516667,-23.55066667,"Italian, Pizza",250,Brazilian Real(R$),No,No,No,4,4.5,Dark Green,Excellent,49.0,cantina famiglia mancini,italian pizza,sí£o paulo,bela vista centro
6704326,Templo da Carne - Marcos Bassi,Sí£o Paulo,"Rua Treze de Maio, 668, Bela Vista, Sí£o Paulo 01327000","Bela Vista, Centro",-46.64633333,-23.559,"Steak, BBQ",250,Brazilian Real(R$),No,No,No,4,4.4,Green,Very Good,17.0,templo da carne marcos basso,steak bbq,sí£o paulo,bela vista centro
6711179,Gopala Hari,Sí£o Paulo,"Rua Antonio Carlos, 429, Consolaí_í£o, Sí£o Paulo",Consolaí_í£o,-46.65866667,-23.55616667,Indian,70,Brazilian Real(R$),No,No,No,3,3.1,Orange,Average,5.0,gopala hari,indian,sí£o paulo,consolaíí£o
6702797,Jiquitaia,Sí£o Paulo,"Rua AntíÇnio Carlos, 268, Consolaí_í£o, Sí£o Paulo",Consolaí_í£o,-46.657523,-23.55671,Brazilian,100,Brazilian Real(R$),No,No,No,4,4.1,Green,Very Good,15.0,jiquitaia,brazilian,sí£o paulo,consolaíí£o
6700475,Skye - Hotel Unique,Sí£o Paulo,"Hotel Unique, Avenida Brigadeiro Luí_s AntíÇnio, 4700, Jardim Paulista, Sí£o Paulo","Hotel Unique, Jardim Paulista",-46.666851,-23.581688,"Beverages, International",300,Brazilian Real(R$),No,No,No,4,4.8,Dark Green,Excellent,59.0,skye hotel unique,beverage international,sí£o paulo,hotel unique jardim paulista
6713413,Les 3 Brasseurs,Sí£o Paulo,"Rua Jesuí_no Arruda, 470, Itaim Bibi, Sí£o Paulo",Itaim Bibi,-46.67511,-23.582135,"French, Brazilian, Beverages",120,Brazilian Real(R$),No,No,No,4,4.6,Dark Green,Excellent,30.0,le brasseurs,french brazilian beverage,sí£o paulo,itaim bibi
6714340,Red Steak & Burger,Sí£o Paulo,"Rua Tabapuí£, 1417, Itaim Bibi, Sí£o Paulo",Itaim Bibi,-46.683888,-23.585324,"Brazilian, Grill",75,Brazilian Real(R$),No,No,No,3,3.9,Yellow,Good,5.0,red steak burger,brazilian grill,sí£o paulo,itaim bibi
6710645,Cantinho da Gula,Sí£o Paulo,"Rua Pedroso Alvarenga, 522, Itaim Bibi, Sí£o Paulo, SP",Itaim Bibi,-46.67566667,-23.581,Brazilian,55,Brazilian Real(R$),No,No,No,2,0.0,White,Not rated,0.0,cantinho da gula,brazilian,sí£o paulo,itaim bibi
6700402,Paris 6 Classique,Sí£o Paulo,"Rua Haddock Lobo, 1240, Cerqueira Cí©sar, Jardim Paulista, Sí£o Paulo",Jardim Paulista,-46.666041,-23.561568,French,200,Brazilian Real(R$),No,No,No,4,3.4,Orange,Average,73.0,paris classique,french,sí£o paulo,jardim paulista
6700846,Kawa Sushi,Sí£o Paulo,"Alameda Lorena, 300, Jardim Paulista, Sí£o Paulo",Jardim Paulista,-46.657418,-23.571638,"Sushi, Japanese",120,Brazilian Real(R$),No,No,No,4,3.5,Yellow,Good,9.0,kawa sushi,sushi japanese,sí£o paulo,jardim paulista
6702159,A Figueira Rubaiyat,Sí£o Paulo,"Rua Haddock Lobo, 1738, Cerqueira Cí©sar, Jardim Paulista, Sí£o Paulo 10000",Jardim Paulista,-46.66983333,-23.5655,"BBQ, Grill, Brazilian",300,Brazilian Real(R$),No,No,No,4,4.3,Green,Very Good,39.0,figueira rubaiyat,bbq grill brazilian,sí£o paulo,jardim paulista
6711666,Kinoshita,Sí£o Paulo,"Rua Jacques Fí©lix, 405, Vila Nova Conceií_í£o, Moema, Sí£o Paulo",Moema,-46.67133333,-23.59233333,Sushi,230,Brazilian Real(R$),No,No,No,4,3.9,Yellow,Good,12.0,kinoshita,sushi,sí£o paulo,moema
6701257,Meats,Sí£o Paulo,"Rua dos Pinheiros, 320, Pinheiros, Sí£o Paulo",Pinheiros,-46.68133333,-23.56483333,"Gourmet Fast Food, Burger",120,Brazilian Real(R$),No,No,No,4,4.3,Green,Very Good,68.0,meat,gourmet fast food burger,sí£o paulo,pinheiros
6706211,Paribar,Sí£o Paulo,"Praí_a Dom Josí© Gaspar, 42, Repí_blica, Sí£o Paulo 10000",Repí_blica,-46.64159444,-23.54664167,"Brazilian, Italian",150,Brazilian Real(R$),No,No,No,4,4.3,Green,Very Good,46.0,paribar,brazilian italian,sí£o paulo,repíblica
6705858,Terraí_o Itíçlia,Sí£o Paulo,"Edifí_cio Itíçlia - 41Á Andar, Avenida Ipiranga, 344, Repí_blica, Sí£o Paulo",Repí_blica,-46.643425,-23.545163,Italian,400,Brazilian Real(R$),No,No,No,4,4.4,Green,Very Good,37.0,terraío itíçlia,italian,sí£o paulo,repíblica
6701419,Divino Fogí£o,Sí£o Paulo,"Shopping MetríÇ Santa Cruz - Piso L2, Rua Domingos de Morais, 2564, Vila Mariana, Sí£o Paulo","Shopping MetríÇ Santa Cruz, Vila Mariana",-46.63716667,-23.5995,"Brazilian, Mineira",65,Brazilian Real(R$),No,No,No,3,0.0,White,Not rated,2.0,divino fogí£o,brazilian mineira,sí£o paulo,shopping metríç santa cruz vila mariana
6703956,Super Grill,Sí£o Paulo,"Shopping Morumbi - Piso Lazer, Avenida Roque Petroni Jí_nior, 1089, Santo Amaro, Sí£o Paulo","Shopping Morumbi, Santo Amaro",-46.698574,-23.622925,Brazilian,50,Brazilian Real(R$),No,No,No,2,0.0,White,Not rated,2.0,super grill,brazilian,sí£o paulo,shopping morumbi santo amaro
6709580,Esquina Mocotí_,Sí£o Paulo,"Avenida Nossa Senhora do Loreto, 1104, Vila Medeiros, Vila Maria, Sí£o Paulo",Vila Maria,-46.581672,-23.486535,"Brazilian, North Eastern",100,Brazilian Real(R$),No,No,No,4,4.4,Green,Very Good,22.0,esquina mocotí,brazilian north eastern,sí£o paulo,vila maria
6703176,Veloso,Sí£o Paulo,"Rua Conceií_í£o Veloso, 56, Vila Mariana, Sí£o Paulo",Vila Mariana,-46.63566667,-23.58516667,"Brazilian, Bar Food, Beverages",70,Brazilian Real(R$),No,No,No,3,4.6,Dark Green,Excellent,58.0,veloso,brazilian bar food beverage,sí£o paulo,vila mariana
6713772,Sainte Marie Gastronomia,Sí£o Paulo,"Rua Dom Joí£o Batista da Costa, 70, Vila SíÇnia, Sí£o Paulo",Vila SíÇnia,-46.746958,-23.609207,"Lebanese, Arabian",120,Brazilian Real(R$),No,No,No,4,4.1,Green,Very Good,11.0,sainte marie gastronomia,lebanese arabian,sí£o paulo,vila síçnia
17284404,Austin's BBQ and Oyster Bar,Albany,"2820 Meredyth Dr, Albany, GA 31707",Albany,-84.221535,31.610387,"BBQ, Burger, Seafood",25,Dollar($),No,No,No,2,3.3,Orange,Average,35.0,austin bbq oyster bar,bbq burger seafood,albany,albany
17284203,BJ's Country Buffet,Albany,"2401 Dawson Rd, Albany, GA 31707",Albany,-84.207095,31.608743,"American, BBQ",10,Dollar($),No,No,No,1,3.3,Orange,Average,25.0,bjs country buffet,american bbq,albany,albany
17284105,Cookie Shoppe,Albany,"115 N Jackson St, Albany, GA 31701",Albany,-84.154,31.5772,,0,Dollar($),No,No,No,1,3.4,Orange,Average,34.0,cookie shoppe,nan,albany,albany
17284302,El Vaquero Mexican Restaurant,Albany,"2700 Dawson Rd, Albany, GA 31707",Albany,-84.2194,31.6158,Mexican,0,Dollar($),No,No,No,1,3.4,Orange,Average,45.0,el vaquero mexican restaurant,mexican,albany,albany
